[Instrument settings]
Instrument type = "CryoFMR-40"
DAQ serial number = "01EA6AD6"
SW version = "2.6.0.3"
AC Output = "0"
AC Field Frequency = "490.000000"
Hall.Sensor Range = "0"
Hall.ADC # Samples = "10"
Hall.ADC Rate = "100.000000"
FMR.RF Diode  = "RF Detector"
FMR.Coupling = "0"
FMR.Notch = "1"
FMR.Notch x2 = "1"
FMR.Bandpass = "1"
Signal.Signal fitting = "Derivated Lorentz."
SweepMode = "Field"
RF.Lvl.Comp = "FALSE"

[QD]
Instrument Type = "DynaCool"
IP Address = "127.0.0.1"
Drive.Mode = "Driven"
Drive.Approach = "Linear"
Drive.Rate = "500.000000"
Correction name = "No Correction"
[Sweep settings]
Frequency(GHz)	Field Saturation (Oe)	Field Start (Oe)	Field Stop (Oe)	Field Step (Oe)	Input gain	Output gain	Modul. Ampl.	FMR ADC # of Samples	FMR ADC Rate	Temp
6	10000	9000	0	10	x100	x100	0.3	100	1000	300
8	10000	9000	0	10	x100	x100	0.3	100	1000	300
10	10000	9000	0	10	x100	x100	0.3	100	1000	300
12	10000	9000	0	10	x100	x100	0.3	100	1000	300
14	10000	9000	0	10	x100	x100	0.3	100	1000	300
16	10000	9000	0	10	x100	x100	0.3	100	1000	300
18	10000	9000	0	10	x100	x100	0.3	100	1000	300
20	10000	9000	0	10	x100	x100	0.3	100	1000	300
22	10000	9000	0	10	x100	x100	0.3	100	1000	300

[Data]
Frequency	Field	I	Q	IQ	IQ fit	Aux	Temp
6.000000	8430.181641	0.029956	0.025429	-0.001431	-0.000010	10.464091	300.618042
6.000000	8420.164062	0.029749	0.017663	-0.005816	-0.000010	10.464140	300.618225
6.000000	8410.285156	0.029006	0.021898	-0.004147	-0.000010	10.464002	300.617828
6.000000	8400.278320	0.030840	0.024719	-0.001078	-0.000010	10.463969	300.618439
6.000000	8390.260742	0.033398	0.017226	-0.002991	-0.000010	10.463923	300.619415
6.000000	8380.277344	0.028973	0.021224	-0.004544	-0.000010	10.463900	300.620209
6.000000	8370.305664	0.032356	0.020997	-0.001826	-0.000010	10.463900	300.619019
6.000000	8360.322266	0.034118	0.025182	0.001922	-0.000010	10.463903	300.619629
6.000000	8350.175781	0.033168	0.025974	0.001551	-0.000010	10.463824	300.619232
6.000000	8340.215820	0.032398	0.022891	-0.000768	-0.000010	10.463634	300.620209
6.000000	8330.197266	0.027829	0.013932	-0.009466	-0.000010	10.463791	300.620209
6.000000	8320.213867	0.027848	0.026182	-0.002812	-0.000010	10.463630	300.620209
6.000000	8310.254883	0.030113	0.025767	-0.001134	-0.000010	10.463607	300.619812
6.000000	8300.212891	0.031695	0.024331	-0.000586	-0.000010	10.463532	300.620605
6.000000	8290.252930	0.036718	0.024409	0.003677	-0.000010	10.463479	300.621002
6.000000	8280.246094	0.030653	0.022637	-0.002382	-0.000011	10.463387	300.620026
6.000000	8270.251953	0.030896	0.024022	-0.001429	-0.000011	10.463476	300.621613
6.000000	8260.245117	0.029897	0.024031	-0.002265	-0.000011	10.463338	300.620605
6.000000	8250.261719	0.028677	0.024456	-0.003062	-0.000011	10.463469	300.621399
6.000000	8240.266602	0.030607	0.022687	-0.002400	-0.000011	10.463505	300.621399
6.000000	8230.224609	0.033658	0.021303	-0.000588	-0.000011	10.463279	300.620422
6.000000	8220.078125	0.035265	0.025945	0.003277	-0.000011	10.463381	300.621216
6.000000	8210.153320	0.029384	0.028558	-0.000251	-0.000011	10.463216	300.622620
6.000000	8200.297852	0.031037	0.021894	-0.002474	-0.000011	10.463187	300.621613
6.000000	8190.326172	0.034973	0.029275	0.004832	-0.000011	10.463137	300.620605
6.000000	8180.214844	0.031856	0.025031	-0.000090	-0.000011	10.463177	300.621796
6.000000	8170.161621	0.031172	0.023772	-0.001348	-0.000011	10.463091	300.620422
6.000000	8160.318359	0.028818	0.021175	-0.004736	-0.000011	10.462999	300.621002
6.000000	8150.358398	0.031991	0.022552	-0.001325	-0.000011	10.463058	300.620605
6.000000	8140.211914	0.028194	0.022049	-0.004790	-0.000011	10.463002	300.621613
6.000000	8130.252441	0.033720	0.022700	0.000206	-0.000011	10.462920	300.621216
6.000000	8120.128906	0.030669	0.022292	-0.002581	-0.000011	10.463019	300.621796
6.000000	8110.308594	0.030695	0.024150	-0.001553	-0.000011	10.462933	300.622406
6.000000	8100.244141	0.036429	0.022690	0.002472	-0.000011	10.462733	300.620605
6.000000	8090.354004	0.033690	0.026155	0.002047	-0.000011	10.462822	300.621613
6.000000	8080.161133	0.032694	0.024130	0.000111	-0.000011	10.462684	300.622406
6.000000	8070.457520	0.032750	0.027227	0.001835	-0.000011	10.462634	300.621613
6.000000	8060.183105	0.026652	0.028634	-0.002529	-0.000011	10.462631	300.622009
6.000000	8050.187988	0.033454	0.023650	0.000484	-0.000011	10.462674	300.621613
6.000000	8040.251465	0.035153	0.025774	0.003062	-0.000011	10.462532	300.621796
6.000000	8030.244629	0.032227	0.021865	-0.001517	-0.000011	10.462618	300.620209
6.000000	8020.238281	0.032790	0.019399	-0.002382	-0.000011	10.462414	300.621002
6.000000	8010.289551	0.031445	0.026359	0.000258	-0.000011	10.462536	300.621613
6.000000	8000.271484	0.033654	0.024173	0.000928	-0.000011	10.462519	300.621002
6.000000	7990.323242	0.033773	0.027125	0.002626	-0.000012	10.462555	300.621613
6.000000	7980.351074	0.030353	0.024932	-0.001437	-0.000012	10.462522	300.620209
6.000000	7970.345215	0.032675	0.024294	0.000166	-0.000012	10.462315	300.620605
6.000000	7960.338379	0.033404	0.027224	0.002365	-0.000012	10.462394	300.622406
6.000000	7950.226562	0.032924	0.018995	-0.002499	-0.000012	10.462371	300.620605
6.000000	7940.254883	0.033404	0.018104	-0.002580	-0.000012	10.462414	300.621002
6.000000	7930.201660	0.035262	0.020251	0.000143	-0.000012	10.462348	300.620605
6.000000	7920.265137	0.028085	0.025757	-0.002906	-0.000012	10.462378	300.621216
6.000000	7910.247070	0.029597	0.025199	-0.001939	-0.000012	10.462335	300.621002
6.000000	7900.264160	0.033023	0.021056	-0.001307	-0.000012	10.462174	300.623810
6.000000	7890.140625	0.033345	0.021566	-0.000762	-0.000012	10.462157	300.623199
6.000000	7880.320312	0.030104	0.018952	-0.004904	-0.000012	10.462200	300.622009
6.000000	7870.348633	0.031156	0.025005	-0.000741	-0.000012	10.462312	300.623810
6.000000	7860.319336	0.034292	0.024406	0.001569	-0.000012	10.462187	300.622620
6.000000	7850.440918	0.036606	0.024765	0.003706	-0.000012	10.462190	300.623016
6.000000	7840.457031	0.030919	0.027891	0.000619	-0.000012	10.462197	300.624603
6.000000	7830.427246	0.030764	0.018334	-0.004692	-0.000012	10.462029	300.622009
6.000000	7820.327637	0.035055	0.021599	0.000682	-0.000012	10.461987	300.623413
6.000000	7810.332520	0.031708	0.024699	-0.000452	-0.000012	10.462098	300.623810
6.000000	7800.221191	0.036330	0.026165	0.004225	-0.000012	10.462023	300.623016
6.000000	7790.203125	0.031037	0.023417	-0.001714	-0.000012	10.461980	300.623413
6.000000	7780.219238	0.033079	0.024561	0.000620	-0.000012	10.461819	300.623016
6.000000	7770.224609	0.032645	0.020162	-0.002130	-0.000012	10.462013	300.623596
6.000000	7760.089844	0.035019	0.023808	0.001839	-0.000012	10.461944	300.622620
6.000000	7750.409180	0.028749	0.023775	-0.003449	-0.000012	10.461950	300.622620
6.000000	7740.449707	0.031514	0.021151	-0.002549	-0.000013	10.461825	300.621613
6.000000	7730.408203	0.029643	0.022628	-0.003323	-0.000013	10.461783	300.623016
6.000000	7720.308105	0.028890	0.023969	-0.003230	-0.000013	10.461773	300.623413
6.000000	7710.487793	0.031932	0.021115	-0.002222	-0.000013	10.461888	300.623199
6.000000	7700.353027	0.033776	0.019669	-0.001458	-0.000013	10.461770	300.624603
6.000000	7690.206543	0.033240	0.022417	-0.000420	-0.000013	10.461885	300.624603
6.000000	7680.211914	0.030012	0.023650	-0.002467	-0.000013	10.461743	300.624603
6.000000	7670.193848	0.036873	0.023367	0.003144	-0.000013	10.461664	300.623993
6.000000	7660.256836	0.028026	0.023160	-0.004404	-0.000013	10.461697	300.625183
6.000000	7650.402344	0.034558	0.021056	-0.000056	-0.000013	10.461733	300.623993
6.000000	7640.208984	0.031129	0.024186	-0.001243	-0.000013	10.461539	300.624603
6.000000	7630.377441	0.035028	0.028756	0.004509	-0.000013	10.461684	300.625977
6.000000	7620.242676	0.034529	0.018867	-0.001273	-0.000013	10.461553	300.624786
6.000000	7610.224121	0.034838	0.027950	0.003909	-0.000013	10.461615	300.624603
6.000000	7600.252930	0.029088	0.021082	-0.004647	-0.000013	10.461589	300.623810
6.000000	7590.141602	0.031872	0.021178	-0.002257	-0.000013	10.461526	300.623993
6.000000	7580.449219	0.030403	0.022220	-0.002929	-0.000013	10.461553	300.623413
6.000000	7570.291504	0.033105	0.026681	0.001758	-0.000013	10.461510	300.623596
6.000000	7560.471191	0.033092	0.021293	-0.001175	-0.000013	10.461464	300.623413
6.000000	7550.464355	0.031780	0.028263	0.001499	-0.000013	10.461444	300.623596
6.000000	7540.271484	0.026175	0.029443	-0.002574	-0.000013	10.461421	300.623993
6.000000	7530.334961	0.029436	0.020632	-0.004610	-0.000013	10.461414	300.623993
6.000000	7520.339844	0.031698	0.026109	0.000258	-0.000014	10.461454	300.624786
6.000000	7510.251465	0.037606	0.025208	0.004733	-0.000014	10.461283	300.624786
6.000000	7500.256348	0.030981	0.028627	0.001017	-0.000014	10.461405	300.623993
6.000000	7490.261719	0.036025	0.020556	0.000880	-0.000014	10.461414	300.625000
6.000000	7480.104004	0.029144	0.021128	-0.004595	-0.000014	10.461322	300.624603
6.000000	7470.423340	0.033967	0.024406	0.001234	-0.000014	10.461368	300.625000
6.000000	7460.393066	0.029959	0.024022	-0.002344	-0.000014	10.461267	300.624603
6.000000	7450.479980	0.029620	0.026001	-0.001558	-0.000014	10.461299	300.624390
6.000000	7440.473633	0.032293	0.023555	-0.000639	-0.000014	10.461296	300.625000
6.000000	7430.431641	0.030383	0.019984	-0.004181	-0.000014	10.461217	300.624786
6.000000	7420.425293	0.029377	0.025895	-0.001824	-0.000014	10.461306	300.623413
6.000000	7410.430664	0.032073	0.026573	0.000807	-0.000014	10.461155	300.622620
6.000000	7400.446777	0.036383	0.022503	0.002222	-0.000014	10.461207	300.623993
6.000000	7390.126465	0.028526	0.022154	-0.004572	-0.000014	10.461194	300.623993
6.000000	7380.468750	0.032675	0.022532	-0.000882	-0.000014	10.461227	300.623413
6.000000	7370.345703	0.035479	0.020859	0.000566	-0.000014	10.461099	300.623810
6.000000	7360.374512	0.034585	0.025557	0.002359	-0.000014	10.461132	300.623810
6.000000	7350.402832	0.031567	0.023801	-0.001130	-0.000014	10.461135	300.624603
6.000000	7340.104492	0.030222	0.024199	-0.002046	-0.000014	10.460911	300.621216
6.000000	7330.098633	0.032878	0.026293	0.001320	-0.000014	10.461082	300.625183
6.000000	7320.429199	0.032395	0.019846	-0.002582	-0.000015	10.461135	300.625793
6.000000	7310.422852	0.030666	0.022164	-0.002781	-0.000015	10.460967	300.624390
6.000000	7300.171875	0.030380	0.027763	0.000012	-0.000015	10.460869	300.624603
6.000000	7290.129883	0.032684	0.024130	-0.000022	-0.000015	10.461023	300.625183
6.000000	7280.216309	0.034276	0.023791	0.001130	-0.000015	10.460931	300.623199
6.000000	7270.245117	0.030633	0.021253	-0.003308	-0.000015	10.460915	300.623413
6.000000	7260.354980	0.027983	0.016118	-0.008320	-0.000015	10.460954	300.625183
6.000000	7250.382812	0.032487	0.023450	-0.000563	-0.000015	10.460928	300.624603
6.000000	7240.260254	0.030255	0.023851	-0.002223	-0.000015	10.460934	300.626190
6.000000	7230.416992	0.036028	0.026740	0.004193	-0.000015	10.461017	300.623993
6.000000	7220.387207	0.032379	0.022013	-0.001438	-0.000015	10.460862	300.624603
6.000000	7210.438477	0.037451	0.029150	0.006692	-0.000015	10.460895	300.624603
6.000000	7200.141113	0.039204	0.023828	0.005279	-0.000015	10.460777	300.623413
6.000000	7190.122070	0.034765	0.022582	0.000872	-0.000015	10.460895	300.625397
6.000000	7180.185547	0.030906	0.023456	-0.001899	-0.000015	10.460852	300.624603
6.000000	7170.167480	0.033289	0.027230	0.002148	-0.000015	10.460662	300.626190
6.000000	7160.359375	0.028368	0.023157	-0.004198	-0.000015	10.460885	300.625580
6.000000	7150.352051	0.027112	0.023009	-0.005335	-0.000015	10.460806	300.626984
6.000000	7140.240723	0.029538	0.018870	-0.005541	-0.000015	10.460777	300.624603
6.000000	7130.409180	0.032467	0.017992	-0.003556	-0.000016	10.460639	300.625183
6.000000	7120.414551	0.032790	0.025475	0.000768	-0.000016	10.460724	300.624603
6.000000	7110.419434	0.032418	0.024774	0.000075	-0.000016	10.460777	300.624603
6.000000	7100.377441	0.031800	0.023522	-0.001125	-0.000016	10.460767	300.624786
6.000000	7090.463867	0.030031	0.026188	-0.001168	-0.000016	10.460708	300.625397
6.000000	7080.143555	0.031609	0.025866	-0.000018	-0.000016	10.460691	300.625793
6.000000	7070.346191	0.035942	0.023561	0.002373	-0.000016	10.460658	300.625000
6.000000	7060.339355	0.035821	0.024922	0.003007	-0.000016	10.460731	300.625183
6.000000	7050.240234	0.029847	0.025392	-0.001760	-0.000016	10.460685	300.625000
6.000000	7040.396484	0.033697	0.020625	-0.001110	-0.000016	10.460635	300.624603
6.000000	7030.424805	0.030893	0.026178	-0.000459	-0.000016	10.460593	300.623993
6.000000	7020.395020	0.029640	0.022075	-0.003737	-0.000016	10.460639	300.625183
6.000000	7010.458008	0.030179	0.024173	-0.002148	-0.000016	10.460671	300.623993
6.000000	7000.404785	0.041143	0.023604	0.006756	-0.000016	10.460658	300.624603
6.000000	6990.397949	0.032694	0.026063	0.000987	-0.000016	10.460704	300.625397
6.000000	6980.392090	0.032527	0.024386	-0.000065	-0.000016	10.460543	300.625397
6.000000	6970.396973	0.032507	0.027898	0.001820	-0.000017	10.460685	300.625580
6.000000	6960.390137	0.034230	0.023219	0.000731	-0.000017	10.460458	300.625977
6.000000	6950.476562	0.030676	0.028424	0.000563	-0.000017	10.460523	300.626587
6.000000	6940.179199	0.032767	0.023571	-0.000311	-0.000017	10.460458	300.626587
6.000000	6930.184082	0.034963	0.028710	0.004318	-0.000017	10.460514	300.626770
6.000000	6920.212402	0.031649	0.024768	-0.000605	-0.000017	10.460491	300.625793
6.000000	6910.356934	0.030544	0.021977	-0.003048	-0.000017	10.460464	300.626587
6.000000	6900.362305	0.034190	0.026619	0.002531	-0.000017	10.460497	300.625793
6.000000	6890.344238	0.035492	0.026126	0.003356	-0.000017	10.460481	300.625580
6.000000	6880.372559	0.031553	0.023614	-0.001317	-0.000017	10.460431	300.625000
6.000000	6870.400391	0.031675	0.025110	-0.000406	-0.000017	10.460369	300.626190
6.000000	6860.382324	0.031941	0.022503	-0.001596	-0.000017	10.460283	300.624603
6.000000	6850.387695	0.032839	0.028526	0.002421	-0.000017	10.460267	300.625000
6.000000	6840.369629	0.032845	0.020044	-0.002173	-0.000017	10.460372	300.626587
6.000000	6830.444824	0.029959	0.023568	-0.002690	-0.000017	10.460297	300.624603
6.000000	6820.426758	0.028795	0.015477	-0.008054	-0.000018	10.460418	300.626190
6.000000	6810.338379	0.027674	0.025905	-0.003346	-0.000018	10.460208	300.626587
6.000000	6800.354492	0.025692	0.019882	-0.008278	-0.000018	10.460448	300.624603
6.000000	6790.359863	0.021845	0.020162	-0.011361	-0.000018	10.460283	300.625580
6.000000	6780.283203	0.025031	0.018735	-0.009459	-0.000018	10.460343	300.624603
6.000000	6770.194824	0.032717	0.021707	-0.001390	-0.000018	10.460270	300.624603
6.000000	6760.386719	0.032204	0.028101	0.001643	-0.000018	10.460287	300.623016
6.000000	6750.345703	0.034969	0.028036	0.003930	-0.000018	10.460270	300.625000
6.000000	6740.222168	0.034660	0.028565	0.003955	-0.000018	10.460244	300.625000
6.000000	6730.239258	0.037612	0.020432	0.002026	-0.000018	10.460300	300.625000
6.000000	6720.278809	0.030373	0.029351	0.000775	-0.000018	10.460214	300.625000
6.000000	6710.318848	0.032527	0.024830	0.000133	-0.000018	10.460237	300.626190
6.000000	6700.300781	0.032116	0.026849	0.000880	-0.000018	10.460214	300.624390
6.000000	6690.305664	0.030613	0.023939	-0.001961	-0.000018	10.460287	300.625397
6.000000	6680.159180	0.032859	0.024176	0.000053	-0.000019	10.460303	300.624603
6.000000	6670.199219	0.031695	0.026675	0.000427	-0.000019	10.460241	300.624603
6.000000	6660.333008	0.031313	0.023667	-0.001525	-0.000019	10.460195	300.626190
6.000000	6650.349121	0.030298	0.022069	-0.003246	-0.000019	10.460316	300.626190
6.000000	6640.214355	0.033921	0.021855	-0.000319	-0.000019	10.460083	300.625977
6.000000	6630.254883	0.033122	0.020760	-0.001585	-0.000019	10.460034	300.626587
6.000000	6620.270996	0.034414	0.026948	0.002852	-0.000019	10.460096	300.626190
6.000000	6610.275879	0.030945	0.018304	-0.004748	-0.000019	10.460178	300.626587
6.000000	6600.292969	0.034450	0.025439	0.002062	-0.000019	10.460057	300.625793
6.000000	6590.286133	0.034302	0.023647	0.000965	-0.000019	10.460152	300.626190
6.000000	6580.326172	0.031938	0.024692	-0.000457	-0.000019	10.460162	300.625580
6.000000	6570.470703	0.030380	0.028272	0.000172	-0.000019	10.460145	300.625793
6.000000	6560.452637	0.033993	0.023939	0.000859	-0.000019	10.460162	300.626190
6.000000	6550.353516	0.029216	0.025087	-0.002535	-0.000020	10.460050	300.625580
6.000000	6540.451660	0.032724	0.021770	-0.001387	-0.000020	10.460057	300.626190
