,f_FMR,K_s,K_as,delta_H,H_res,K_s2,K_as2,delta_H2,H_res2,C
0,6000000000.0,-20140.924922346447,244.79007493619537,6531.307601396517,72354.36592897733,-1627.5258039444313,-183.67161188296126,2706.0864608303687,70015.36770789284,0.00031556346431142746
1,8000000000.0,-24641.83263171263,2237.4431513497634,8987.332705812716,116674.79259723253,-1789.3790502985055,-1133.6935763937095,2823.60630878243,115253.58824126805,-0.0030922204165993923
2,10000000000.0,-14901.316056095658,-3041.579429883131,13718.787213029882,169641.27674396068,-8520.560584406303,3273.9437030708023,4748.751913128386,163157.31913184613,-0.0008761314396094159
3,12000000000.0,-20260.189117048332,-5170.376964377125,18106.49818471723,222177.1132077986,-11676.627680037862,4660.8246647093465,4584.636027581841,214277.43145016342,9.50693064720068e-06
4,14000000000.0,-17849.741075231977,-4640.834231531354,22160.189222299847,275786.324466521,-9596.49017550656,4517.698574283455,4563.253906119623,266796.11328798183,0.00048660807241370245
